Form Position,Field Name,Label,Input Type,Options,Disabled?,Fieldset ID
1,boai,Does the journal adhere to DOAJ’s definition of open access?,radio,Yes (y); No (n),False,basic_compliance
2,oa_statement_url,The journal website must display its open access statement. Where can we find this information?,text,,False,basic_compliance
3,oa_start,When did the journal start to publish all content using an open license?,number,,False,basic_compliance
4,publisher_name,Publisher's name,text,,False,publisher
5,publisher_country,Publisher's country,select,iso_country_list,False,publisher
6,institution_name,Other organisation's name,text,,False,society_or_institution
7,institution_country,Other organisation's country,select,iso_country_list,False,society_or_institution
8,license,License(s) permitted by the journal,checkbox,CC BY (CC BY); CC BY-SA (CC BY-SA); CC BY-ND (CC BY-ND); CC BY-NC (CC BY-NC); CC BY-NC-SA (CC BY-NC-SA); CC BY-NC-ND (CC BY-NC-ND); CC0 (CC0); Public domain (Public domain); Publisher's own license (Publisher's own license),False,licensing
9,license_attributes,Select all the attributes that your license has,checkbox,Attribution (BY); Share Alike (SA); No Derivatives (ND); No Commercial Usage (NC),False,licensing
10,license_terms_url,Where can we find this information?,text,,False,licensing
11,license_display,Does the journal embed and/or display licensing information in its articles?,radio,Yes (y); No (n),False,embedded_licensing
12,license_display_example_url,Recent article displaying or embedding a license in the full text,text,,False,embedded_licensing
13,copyright_author_retains,"For all the licenses you have indicated above, do authors retain the copyright <b>and</b> full publishing rights without restrictions?",radio,Yes (y); No (n),False,copyright
14,copyright_url,Where can we find this information?,text,,False,copyright
15,review_process,DOAJ only accepts peer-reviewed journals. Which type(s) of peer review does this journal use?,checkbox,Editorial review (Editorial review); Peer review (Peer review); Anonymous peer review (Anonymous peer review); Double anonymous peer review (Double anonymous peer review); Post-publication peer review (Post-publication peer review); Open peer review (Open peer review); Other (other),False,peer_review
16,review_process_other,Other peer review,text,,False,peer_review
17,review_url,Where can we find this information?,text,,False,peer_review
18,plagiarism_detection,Does the journal routinely screen article submissions for plagiarism?,radio,Yes (y); No (n),False,plagiarism
19,plagiarism_url,Where can we find this information?,text,,False,plagiarism
20,apc,Does the journal charge fees for publishing an article (APCs)?,radio,Yes (y); No (n),False,apc
21,apc_charges,Highest fee charged,group,,False,apc
22,apc_charges.apc_currency,,select,iso_currency_list,False,apc
23,apc_charges.apc_max,,number,,False,apc
24,apc_url,Where can we find this information?,text,,False,apc
25,has_waiver,Does the journal provide a waiver or discount on publication fees for authors?,radio,Yes (y); No (n),False,apc_waivers
26,waiver_url,Where can we find this information?,text,,False,apc_waivers
27,has_other_charges,Does the journal charge any other fees to authors?,radio,Yes (y); No (n),False,other_fees
28,other_charges_url,Where can we find this information?,text,,False,other_fees
29,aims_scope_url,Link to the journal’s <b>Aims & Scope</b>,text,,False,editorial
30,editorial_board_url,Link to the journal’s <b>Editorial Board</b>,text,,False,editorial
31,author_instructions_url,Link to the journal’s <b>Instructions for Authors</b>,text,,False,editorial
32,publication_time_weeks,Average number of <strong>weeks</strong> between article submission & publication,number,,False,editorial
33,preservation_service,Long-term preservation service(s) where the journal is currently archived,checkbox,CINES (CINES); CLOCKSS (CLOCKSS); LOCKSS (LOCKSS); Internet Archive (Internet Archive); PKP PN (PKP PN); PubMed Central (PMC) (PMC); Portico (Portico); A national library (national_library); Other (other); <em>The journal content isn’t archived with a long-term preservation service</em> (none),False,archiving_policy
34,preservation_service_library,A national library,text,,False,archiving_policy
35,preservation_service_other,Other archiving policy:,text,,False,archiving_policy
36,preservation_service_url,Where can we find this information?,text,,False,archiving_policy
37,deposit_policy,Does the journal have a policy allowing authors to deposit versions of their work in an institutional or other repository of their choice? Where is this policy recorded?,checkbox,Diadorim (Diadorim); Dulcinea (Dulcinea); Mir@bel (Mir@bel); Open Policy Finder (Open Policy Finder); Other (including publisher’s own site) (other); <em>The journal has no repository policy</em> (none),False,deposit_policy
38,deposit_policy_other,Name of other website where policy is registered,text,,False,deposit_policy
39,deposit_policy_url,Where can we find this information?,text,,False,deposit_policy
40,persistent_identifiers,Persistent article identifiers used by the journal,checkbox,DOIs (DOI); ARKs (ARK); Handles (Handles); PURLs (PURL); Other (other); <em>The journal does not use persistent article identifiers</em> (none),False,unique_identifiers
41,persistent_identifiers_other,Other identifier,text,,False,unique_identifiers
42,title,Journal title,text,,True,about_the_journal_extended
43,alternative_title,Alternative title (including translation of the title),text,,True,about_the_journal_extended
44,journal_url,Link to the journal’s homepage,text,,False,about_the_journal_extended
45,pissn,ISSN (print),text,,True,about_the_journal_extended
46,eissn,ISSN (online),text,,True,about_the_journal_extended
47,language,Languages in which the journal accepts manuscripts,select,iso_language_list,False,about_the_journal_extended
48,keywords,Up to 6 subject keywords in English,taglist,,False,about_the_journal_extended
